Gre_Range,College_name,College_Site
260-290,University of Detroit Mercy,www.udmercy.edu
260-290,University of Arkansas Little Rock,www.ualr.edu
260-290,"California State University, Fresno",www.csufresno.edu
260-290,Alabama A & M University,www.aamu.edu
260-290,"Widener University, Pennsylvania",www.widener.edu
260-290,Alcorn State University,www.alcorn.edu
260-290,Gannon University,www.gannon.edu
260-290,University of Findlay-Ohio,www.findlay.edu
260-290,"San Diego State University, California",www.sdsu.edu
260-290,Ball State University,www.bsu.edu
260-290,Northwestern Polytechnic University,www.npu.edu
260-290,Jacksonville State University,www.jsu.edu
260-290,Saint Joseph University,www.sju.edu
260-290,Chapman University,www.chapman.edu
260-290,Kent State University,www.kent.edu
260-290,Ferris State University,www.ferris.edu
260-290,"University of New Haven, CT",www.newhaven.edu
260-290,"Farleigh Dickinson University, New Jersey",www.fdu.edu
260-290,"State University of New York, Albany",www.albany.edu
260-290,College of William & Mary,www.wm.edu
260-290,East Tennessee State University,www.etsu.edu
260-290,"Southwest Texas State University, San Marcos",www.swt.edu
260-290,DePaul University,www.depaul.edu
260-290,Mc Neese State University,www.mcneese.edu
260-290,Oakland University,www.oakland.edu
260-290,Sam Houston State University,www.shsu.edu
260-290,San Jose state University,www.sjsu.edu
260-290,William Patterson University,www.wpunj.edu
260-290,Western Carolina University,www.wcu.edu
260-290,University of Central Oklahoma,www.ucok.edu
260-290,Widener University,www.widener.edu
260-290,"University of St Thomas, MN",www.stthomas.edu
260-290,Western Illinois university,www.wiu.edu
260-290,"Bowling Green State University, Ohio",www.bgsu.edu
260-290,Delaware State University,www.desu.edu
260-290,"State University of New York, New Paltz",www.newpaltz.edu
260-290,Central Michigan University,www.cmich.edu
260-290,University of Southern Mississippi,www.usm.edu
260-290,Indian University South Bend,www.iusb.edu
260-290,Saint Mary's University San Antonio,www.stmarytx.edu
260-290,"Shippensburg University, PA",www.ship.edu
260-290,East Tennessee State University,www.etsu.edu
260-290,"University of Texas, Pan America",www.panam.edu
260-290,Jackson State University,www.jsums.edu
260-290,Oklahoma City University,www.ocu.edu
260-290,Frostburg State University,www.frostburg.edu
260-290,"La Salle University, PA",www.lasalle.edu
260-290,Alfred University,www.alfred.edu
260-290,Monmouth University-New Jersey,www.monmouth.edu
260-290,Southern New Hampshire University,www.snhu.edu
260-290,Roosevelt University Chicago,www.roosevelt.edu
260-290,Drake university,www.drake.edu
260-290,Shippensburg University of Pennsylvania,www.ship.edu
260-290,Duquesne University,www.duq.edu
260-290,Georgia College & State University,www.gcsu.edu
260-290,Georgia Southern University,www.georgiasouthern.edu
260-290,Kennesaw State University,www.kennesaw.edu
260-290,Long Island University,www.liu.edu
260-290,Loyola University Chicago,www.luc.edu
260-290,Northern Kentucky University,www.nku.edu
260-290,Lawrence Tech University,www.ltu.edu
260-290,Clark Atlanta University,www.cau.edu
260-290,"California State University, Northridge",www.csun.edu
260-290,"Catholic University of America, Washington",www.cua.edu
260-290,"Ohio Dominican College (University), Ohio",www.ohiodominican.edu
260-290,"Ferris State University, Michigan",www.ferris.edu
260-290,"Fitchburg State University, MA",www.fsc.edu
260-290,"Hawaii Pacific University, Hawaii",www.hpu.edu
260-290,"Northwood University, Michigan",www.northwood.edu
260-290,"Johnson and Wales University, RI",www.jwu.edu
260-290,"Governors State University, Parkway IL",www.govst.edu
260-290,"Troy State University, Alabama",www.troyst.edu
260-290,Stevens Institute of Technology,www.stevens-tech.edu
260-290,"Florida Atlantic University, Boca Raton",www.fau.edu
260-290,Golden Gate University,www.ggu.edu
260-290,Howard University,www.howard.edu
260-290,Dominican University,www.dom.edu
